1,0,42889,21429,42113,50598,3767,43934,0,0
2,50,42944,21440,41733,50960,3831,43508,0,0
3,100,42998,21453,41350,51318,3902,43079,0,0
4,150,43052,21466,40965,51671,3980,42648,0,0
5,200,43105,21481,40578,52019,4066,42214,0,0
6,250,43157,21497,40188,52363,4158,41778,0,0
7,300,43208,21514,39797,52701,4258,41340,0,0
8,350,43259,21532,39404,53035,4365,40900,0,0
9,400,43309,21552,39009,53364,4478,40457,0,0
10,450,43358,21573,38613,53688,4599,40013,0,0
11,500,43406,21595,38215,54006,4727,39567,0,0
12,550,43454,21618,37816,54319,4861,39119,0,0
13,600,43501,21642,37415,54627,5002,38670,0,0
14,650,43547,21667,37013,54930,5151,38219,0,0
15,700,43592,21694,36610,55227,5306,37767,0,0
16,750,43636,21721,36205,55519,5467,37314,0,0
17,800,43679,21750,35800,55805,5636,36860,0,0
18,850,43722,21780,35394,56085,5811,36404,0,0
19,900,43763,21811,34987,56359,5993,35948,0,0
20,950,43804,21843,34580,56628,6181,35491,0,0
21,1000,43844,21876,34172,56891,6377,35033,0,0
22,1050,43882,21910,33763,57148,6578,34575,0,0
23,1100,43920,21945,33354,57398,6786,34116,0,0
24,1150,43957,21982,32945,57643,7001,33657,0,0
25,1200,43993,22019,32536,57882,7221,33197,0,0
26,1250,44029,22058,32127,58114,7448,32738,0,0
27,1300,44063,22097,31717,58340,7682,32279,0,0
28,1350,44096,22138,31308,58560,7921,31819,0,0
29,1400,44128,22179,30899,58774,8167,31360,0,0
30,1450,44159,22222,30491,58981,8419,30901,0,0
31,1500,44190,22266,30083,59181,8676,30443,0,0
32,1550,44219,22310,29675,59375,8940,29985,0,0
33,1600,44247,22356,29268,59563,9210,29528,0,0
34,1650,44274,22403,28862,59744,9485,29072,0,0
35,1700,44301,22450,28457,59918,9766,28617,0,0
36,1750,44326,22499,28053,60086,10053,28163,0,0
37,1800,44350,22548,27649,60246,10345,27710,0,0
38,1850,44373,22598,27247,60400,10643,27258,0,0
39,1900,44395,22650,26846,60548,10946,26807,0,0
40,1950,44416,22702,26447,60688,11255,26358,0,0
41,2000,44436,22755,26049,60821,11569,25911,0,0
42,2050,44455,22809,25652,60948,11888,25465,0,0
43,2100,44473,22863,25257,61067,12213,25021,0,0
44,2150,44490,22919,24864,61180,12542,24579,0,0
45,2200,44505,22975,24473,61286,12877,24139,0,0
46,2250,44520,23033,24084,61384,13216,23701,0,0
47,2300,44533,23091,23696,61476,13561,23265,0,0
48,2350,44546,23150,23311,61560,13909,22832,0,0
49,2400,44557,23209,22928,61637,14263,22401,0,0
50,2450,44567,23270,22548,61707,14621,21973,0,0
51,2500,44577,23331,22169,61770,14984,21547,0,0
52,2550,44585,23393,21794,61826,15351,21124,0,0
53,2600,44592,23455,21421,61875,15722,20704,0,0
54,2650,44598,23518,21050,61916,16098,20287,0,0
55,2700,44602,23582,20682,61951,16477,19873,0,0
56,2750,44606,23647,20318,61978,16861,19463,0,0
57,2800,44609,23712,19956,61998,17249,19055,0,0
58,2850,44610,23778,19597,62010,17640,18651,0,0
59,2900,44611,23845,19241,62016,18035,18250,0,0
60,2950,44610,23912,18889,62014,18434,17853,0,0
61,3000,44608,23979,18540,62005,18836,17460,0,0
62,3050,44605,24048,18194,61989,19242,17071,0,0
63,3100,44601,24117,17852,61966,19651,16685,0,0
64,3150,44596,24186,17513,61935,20064,16303,0,0
65,3200,44590,24256,17178,61897,20479,15925,0,0
66,3250,44583,24326,16847,61852,20898,15552,0,0
67,3300,44574,24397,16520,61800,21319,15183,0,0
68,3350,44565,24469,16196,61741,21743,14818,0,0
69,3400,44554,24540,15877,61674,22170,14457,0,0
70,3450,44542,24613,15561,61601,22600,14101,0,0
71,3500,44530,24685,15250,61520,23032,13750,0,0
72,3550,44516,24758,14943,61432,23466,13403,0,0
73,3600,44501,24832,14640,61337,23903,13062,0,0
74,3650,44485,24905,14341,61235,24342,12725,0,0
75,3700,44468,24980,14047,61126,24783,12392,0,0
76,3750,44450,25054,13758,61010,25226,12065,0,0
77,3800,44431,25129,13473,60887,25671,11744,0,0
78,3850,44410,25204,13192,60757,26118,11427,0,0
79,3900,44389,25279,12917,60621,26566,11115,0,0
80,3950,44367,25355,12646,60477,27016,10809,0,0
81,4000,44343,25430,12380,60326,27467,10508,0,0
82,4050,44319,25506,12119,60169,27919,10213,0,0
83,4100,44293,25583,11863,60005,28373,9924,0,0
84,4150,44267,25659,11612,59834,28828,9640,0,0
85,4200,44239,25735,11366,59657,29284,9361,0,0
86,4250,44211,25812,11125,59473,29740,9089,0,0
87,4300,44181,25889,10890,59282,30198,8822,0,0
88,4350,44151,25966,10659,59085,30656,8561,0,0
89,4400,44119,26043,10435,58881,31114,8306,0,0
90,4450,44087,26120,10215,58671,31573,8058,0,0
91,4500,44053,26197,10001,58454,32032,7815,0,0
92,4550,44019,26274,9793,58231,32492,7579,0,0
93,4600,43983,26351,9590,58002,32951,7348,0,0
94,4650,43947,26428,9392,57767,33411,7124,1,0
95,4700,43910,26505,9201,57525,33870,6907,0,0
96,4750,43872,26582,9015,57277,34329,6695,0,0
97,4800,43833,26659,8834,57024,34788,6490,0,0
98,4850,43793,26736,8660,56764,35246,6292,0,0
99,4900,43752,26812,8491,56498,35703,6100,0,0
100,4950,43710,26889,8329,56227,36160,5915,0,0
101,5000,43667,26965,8172,55949,36616,5736,0,0
102,5050,43624,27041,8021,55666,37071,5564,0,0
103,5100,43579,27117,7876,55378,37525,5399,0,0
104,5150,43534,27193,7737,55083,37977,5240,0,0
105,5200,43488,27269,7605,54784,38429,5089,0,0
106,5250,43441,27344,7478,54478,38879,4944,0,0
107,5300,43393,27420,7357,54168,39328,4806,0,0
108,5350,43344,27494,7243,53852,39774,4675,0,0
109,5400,43295,27569,7135,53531,40220,4551,0,0
110,5450,43245,27643,7033,53205,40663,4433,0,0
111,5500,43194,27717,6937,52874,41104,4323,0,0
112,5550,43142,27791,6848,52537,41544,4220,0,0
113,5600,43090,27864,6765,52196,41981,4124,0,0
114,5650,43037,27937,6688,51850,42416,4035,0,0
115,5700,42983,28009,6617,51500,42848,3953,0,0
116,5750,42929,28081,6553,51145,43278,3878,0,0
117,5800,42873,28152,6495,50785,43706,3810,0,0
118,5850,42818,28224,6444,50421,44131,3749,0,0
119,5900,42761,28294,6399,50052,44553,3696,0,0
120,5950,42704,28364,6360,49679,44972,3650,0,0
121,6000,42646,28434,6328,49302,45388,3611,0,0
122,6050,42588,28503,6302,48921,45800,3579,0,0
123,6100,42529,28571,6282,48536,46210,3554,0,0
124,6150,42469,28639,6269,48147,46617,3536,0,0
125,6200,42409,28707,6263,47755,47019,3526,0,0
126,6250,42348,28773,6263,47358,47419,3523,0,0
127,6300,42287,28840,6269,46958,47815,3527,0,0
128,6350,42225,28905,6281,46555,48207,3539,0,0
129,6400,42162,28970,6301,46148,48595,3557,0,0
130,6450,42100,29034,6326,45738,48980,3583,0,0
131,6500,42036,29098,6358,45324,49360,3616,0,0
132,6550,41972,29161,6396,44908,49736,3656,0,0
133,6600,41908,29223,6441,44488,50108,3704,0,0
134,6650,41844,29284,6492,44066,50476,3758,0,0
135,6700,41778,29345,6550,43640,50840,3820,0,0
136,6750,41713,29405,6614,43213,51199,3889,0,0
137,6800,41647,29464,6684,42782,51553,3965,0,0
138,6850,41581,29522,6760,42349,51903,4048,0,0
139,6900,41514,29580,6843,41914,52248,4138,0,0
140,6950,41447,29636,6932,41476,52588,4235,0,0
141,7000,41380,29692,7028,41037,52924,4340,0,0
142,7050,41312,29747,7129,40595,53254,4451,0,0
143,7100,41244,29802,7237,40151,53579,4569,0,0
144,7150,41176,29855,7351,39706,53900,4694,0,0
145,7200,41108,29908,7471,39258,54215,4827,0,0
146,7250,41039,29959,7598,38809,54524,4966,0,0
147,7300,40970,30010,7730,38359,54829,5112,0,0
148,7350,40901,30060,7869,37907,55127,5264,0,0
149,7400,40832,30108,8013,37454,55421,5424,0,0
150,7450,40763,30156,8164,37000,55709,5590,0,0
151,7500,40693,30203,8320,36545,55991,5763,0,0
152,7550,40623,30249,8483,36089,56267,5943,0,0
153,7600,40554,30294,8651,35632,56538,6129,0,0
154,7650,40484,30338,8825,35174,56803,6322,0,0
155,7700,40414,30381,9005,34716,57061,6521,0,0
156,7750,40344,30423,9191,34257,57314,6727,0,0
157,7800,40273,30464,9382,33798,57561,6939,0,0
158,7850,40203,30504,9579,33339,57801,7158,0,0
159,7900,40133,30543,9782,32879,58036,7383,0,0
160,7950,40063,30581,9990,32420,58264,7614,0,0
161,8000,39993,30618,10204,31961,58486,7852,0,0
162,8050,39923,30654,10423,31501,58702,8095,0,0
163,8100,39853,30688,10647,31042,58911,8345,0,0
164,8150,39783,30722,10877,30584,59114,8601,0,0
165,8200,39713,30754,11113,30126,59310,8863,0,0
166,8250,39643,30786,11353,29669,59499,9130,0,0
167,8300,39573,30816,11599,29212,59683,9404,0,0
168,8350,39504,30845,11849,28756,59859,9683,0,0
169,8400,39434,30873,12105,28302,60029,9968,0,0
170,8450,39365,30900,12366,27848,60192,10258,0,0
171,8500,39296,30926,12632,27396,60348,10554,0,0
172,8550,39227,30950,12902,26945,60497,10856,0,0
173,8600,39159,30974,13178,26495,60640,11163,0,0
174,8650,39090,30996,13458,26047,60776,11475,0,0
175,8700,39022,31017,13742,25600,60905,11793,0,0
176,8750,38954,31037,14032,25156,61026,12115,0,0
177,8800,38887,31056,14325,24713,61141,12443,0,0
178,8850,38820,31074,14624,24272,61249,12776,0,0
179,8900,38753,31090,14926,23834,61350,13114,0,0
180,8950,38686,31105,15233,23397,61444,13456,0,0
181,9000,38620,31119,15544,22963,61531,13804,0,0
182,9050,38554,31132,15860,22531,61610,14156,0,0
183,9100,38489,31144,16179,22102,61683,14512,0,0
184,9150,38424,31155,16502,21675,61748,14874,0,0
185,9200,38360,31164,16830,21251,61806,15239,0,0
186,9250,38295,31172,17161,20830,61857,15609,0,0
187,9300,38232,31179,17495,20412,61901,15983,0,0
188,9350,38169,31184,17834,19997,61938,16361,0,0
189,9400,38106,31189,18176,19585,61968,16744,0,0
190,9450,38044,31192,18521,19177,61990,17130,0,0
191,9500,37982,31194,18870,18771,62005,17520,0,0
192,9550,37921,31195,19223,18370,62013,17914,0,0
193,9600,37860,31195,19578,17971,62013,18312,0,0
194,9650,37800,31193,19937,17577,62007,18713,0,0
195,9700,37741,31190,20298,17186,61993,19117,0,0
196,9750,37682,31186,20663,16799,61972,19525,0,0
197,9800,37624,31181,21030,16416,61944,19937,0,0
198,9850,37566,31175,21401,16037,61908,20351,0,0
199,9900,37509,31167,21774,15662,61866,20769,0,0
200,9950,37452,31158,22149,15291,61816,21189,0,0
201,10000,37397,31148,22527,14924,61759,21612,0,0
202,10050,37342,31137,22908,14562,61695,22038,0,0
203,10100,37287,31125,23291,14205,61624,22467,0,0
204,10150,37234,31111,23676,13852,61545,22898,0,0
205,10200,37181,31096,24063,13504,61460,23332,0,0
206,10250,37129,31080,24452,13160,61367,23768,0,0
